idArticulo,hyper,r2_test,mse_test,model
551.0,{'n_lags': 6},-0.6415620722820252,0.3609795237434852,LR
594.0,{'n_lags': 5},-1.4997502900082016,3.796934294562324,LR
963.0,{'n_lags': 2},-0.55088256549081,1.58677044700803,LR
1208.0,{'n_lags': 11},-2.8614249565167884,0.23986217982914995,LR
1224.0,{'n_lags': 2},0.0069672404998954995,1.2958233915685526,LR
1627.0,{'n_lags': 2},-0.3370797366045801,1.455596059663192,LR
3090.0,{'n_lags': 2},0.04949906301369278,0.7573179064262112,LR
3745.0,{'n_lags': 4},-0.19132476433088197,1.2109198391831988,LR
3882.0,{'n_lags': 11},-0.31783838518347474,0.16684589239291772,LR
3883.0,{'n_lags': 2},-0.29289701147517566,1.1806944862789364,LR
3885.0,{'n_lags': 2},-1.218497199897839,0.2616076300591354,LR
4070.0,{'n_lags': 2},-0.31700438371793727,2.7584335325177203,LR
4765.0,{'n_lags': 11},-1.0687295508093064,1.5449652127330407,LR
4827.0,{'n_lags': 2},-38.76838535348449,1.1119275491912002,LR
5389.0,{'n_lags': 2},-3.2314076812783155,0.8537295808625343,LR
5579.0,{'n_lags': 2},-0.1921464100528385,0.3048735264877923,LR
7798.0,{'n_lags': 6},-1.3738060478440648,2.9039635396699626,LR
7799.0,{'n_lags': 6},-1.3154119390896821,0.5500260073548168,LR
7801.0,{'n_lags': 4},-0.8931278292082445,0.35320140709271675,LR
9776.0,{'n_lags': 11},-1.5491750475119228,1.2916642256891786,LR
9950.0,{'n_lags': 2},-0.2021426338393515,0.7759518590488781,LR
10702.0,{'n_lags': 2},-0.9168338019319009,0.13065688198371228,LR
10927.0,{'n_lags': 2},-10.349309655547989,0.6350128180094458,LR
10960.0,{'n_lags': 2},-0.04267470771484749,1.5319496436584732,LR
10964.0,{'n_lags': 11},-0.5728448298146931,2.3010611770469915,LR
11395.0,{'n_lags': 5},-1.4624629215797365,1.1600876103454072,LR
11397.0,{'n_lags': 5},-20.310514579672006,0.2928974665334763,LR
11509.0,{'n_lags': 5},-0.29482253339467435,0.8484592099167381,LR
11523.0,{'n_lags': 2},-4.94674476012381,0.47807482722493194,LR
11807.0,{'n_lags': 5},0.4269337771526489,0.2265448377812695,LR
14606.0,{'n_lags': 11},-0.44691217222211166,2.8717549472784634,LR
14709.0,{'n_lags': 6},-1.433099131263929,1.0440027950392112,LR
16404.0,{'n_lags': 2},-0.1866674373035364,1.321044595527862,LR
17413.0,{'n_lags': 2},-0.0012333505660115929,0.8179743939906652,LR
17414.0,{'n_lags': 4},-0.41939628359375525,1.3277902284925482,LR
17750.0,{'n_lags': 2},-0.8349245743560125,2.9784250553229947,LR
17779.0,{'n_lags': 2},0.30350653993069576,0.7434266305408375,LR
17804.0,{'n_lags': 5},-2.2091152391463638,0.47693211163627536,LR
19571.0,{'n_lags': 2},-0.07843376431768356,0.9220736319351804,LR
19574.0,{'n_lags': 2},-0.15710077192397853,1.7486894323019762,LR
20263.0,{'n_lags': 11},-1.3878173857672915,2.5639968473601358,LR
20301.0,{'n_lags': 2},-0.1714640121932891,0.5259551181871529,LR
20305.0,{'n_lags': 6},-0.31934000437206556,2.6349295475094756,LR
20310.0,{'n_lags': 2},0.19790370986468497,0.8810319993284279,LR
20697.0,{'n_lags': 4},-0.2897231009949479,1.297935297843442,LR
20769.0,{'n_lags': 2},-0.12905343417858983,1.1440792475927726,LR
21577.0,{'n_lags': 2},-0.15984269576966814,0.6472858213938446,LR
23900.0,{'n_lags': 2},-0.2099164961628368,1.4293153659017375,LR
26158.0,{'n_lags': 2},-0.27373186589115317,1.4068308826264813,LR
27165.0,{'n_lags': 2},-1.2106486879453269,4.903471162722841,LR
